"","label","rawValidateRSD","SERRFValidateRSD"
"111","plasmenyl-PC (36:3) [M+HCOO]-",0.24192326375398,0.0658088872800694
"112","plasmenyl-PC (36:4) [M+HCOO]- ",0.267250418702952,0.065318861823402
"113","plasmenyl-PC (38:0) [M+HCOO]-",0.488218861779832,0.0435345577645493
"114","plasmenyl-PC (38:4) [M+HCOO]- ",0.240318906794304,0.0694694486239732
"115","plasmenyl-PC (38:5) [M+HCOO]-",0.224925921010303,0.070236578883715
"116","plasmenyl-PC (40:1) [M+HCOO]-",0.770085298429182,0.461052970971599
"117","plasmenyl-PC (40:4) [M+HCOO]-",0.213734333819446,0.128741603206703
"118","plasmenyl-PC (42:4) [M+HCOO]-",0.242508494622192,0.123771924299889
"119","plasmenyl-PE (34:1) [M-H]-",0.238474260714804,0.0645269511306194
"120","plasmenyl-PE (34:2) [M-H]- ",0.278446300882995,0.0732491504139477
"121","plasmenyl-PE (36:1) [M-H]-",0.258591607428596,0.130398505382703
"122","plasmenyl-PE (36:2) [M-H]- ",0.23351250593319,0.0504042533909878
"123","plasmenyl-PE (36:4) [M-H]- ",0.245895458307856,0.092751628206615
"124","plasmenyl-PE (36:5) [M-H]- ",0.291422278991868,0.151329199756954
"125","plasmenyl-PE (38:2) [M-H]-",0.192192886052532,0.108265635274613
"126","plasmenyl-PE (38:3) [M-H]-",0.320095927291554,0.188040486724309
"127","plasmenyl-PE (38:4) [M-H]- ",0.245426447479775,0.0869387946662418
"128","plasmenyl-PE (38:5) [M-H]- ",0.256900476572843,0.11601492291226
"129","plasmenyl-PE (38:6) [M-H]- ",0.297875315695597,0.111978025868521
"130","plasmenyl-PE (40:4) [M-H]-",0.256286324093544,0.15639600211727
"131","plasmenyl-PE (40:5) [M-H]-",0.294711238104827,0.122661420788254
"132","plasmenyl-PE (40:6) [M-H]- ",0.240508622213236,0.0648152305854951
"133","plasmenyl-PE (40:7) [M-H]-",0.235242636667671,0.100315958040004
"134","CSH_negESI #513",0.32139566941266,0.0713699206578283
"135","CSH_negESI #514",0.312111661484729,0.0780292747554622
"136","CSH_negESI #515",0.346612934800898,0.0845562250883732
"137","SM (d32:0) [M+HCOO]-",0.257900749203283,0.0724978014997951
"138","SM (d32:1) [M+HCOO]-",0.260935018640837,0.110341326979549
"139","SM (d32:2) [M+HCOO]-",0.290608851621798,0.120301064590938
"140","SM (d33:1) [M+HCOO]-",0.229573899344116,0.081375081272976
"141","SM (d34:0) [M+HCOO]-",0.255167553737073,0.0738948422991914
"142","SM (d34:1) [M+HCOO]-",0.270821463771526,0.0708078709060182
"143","SM (d34:2) [M+HCOO]-",0.251803584276602,0.0647021611580311
"144","SM (d36:0) [M+HCOO]-",0.365975030120731,0.130099813432556
"145","SM (d36:1) [M+HCOO]- ",0.249473925947666,0.0870005912675131
"146","SM (d36:2) [M+HCOO]- ",0.315270889797136,0.0647095699183763
"147","SM (d38:1) [M+HCOO]-",0.238346336004063,0.0813713573107084
"148","SM (d38:2) [M+HCOO]- ",0.257796634751672,0.0925735663818226
"149","SM (d40:0) [M+HCOO]-",0.402344505193824,0.321453296281649
"150","SM (d40:1) [M+HCOO]-",0.242519796801339,0.066668799856458
"151","SM (d40:2) [M-HCOO]- ",0.24602896043208,0.0838828158872799
"152","SM (d40:3) [M+HCOO]-",0.5513292207302,0.386287531920143
"153","SM (d41:1) [M+HCOO]-",0.225483570733609,0.0723133651390018
"154","SM (d41:2) [M+HCOO]-",0.249843986836639,0.0920568003992279
"155","SM (d42:1) [M+HCOO]-",0.239019971767119,0.0480725534644033
"156","SM (d42:2) A [M+HCOO]-",0.24577370528879,0.0589197624580423
"157","SM (d42:2) B [M+HCOO]-",0.245946250284731,0.0564898308208751
"158","SM (d42:3) [M+HCOO]-",0.250722506836961,0.0567768885085062
"159","SM (d43:2) [M+HCOO]-",0.298976114036347,0.161179534302053
"160","CSH_negESI #014",0.413459014111303,0.181774807019173
"161","CSH_negESI #017",0.426693921771329,0.12307330016338
"162","CSH_negESI #021",0.386511042439913,0.11920936323293
"163","CSH_negESI #024",0.906666627287916,0.25299313027979
"164","CSH_negESI #046",0.383640852270368,0.118395991731456
"165","CSH_negESI #056",0.370901594431113,0.082925507739887
"166","CSH_negESI #071",0.229855559248576,0.182350178010153
"167","CSH_negESI #074",0.209669072282841,0.100806213371329
"168","CSH_negESI #078",0.46925879645335,0.0645547399139297
"169","CSH_negESI #079",0.816991557795958,0.195378174358978
"170","CSH_negESI #091",0.230709345780444,0.0834181423209609
"171","CSH_negESI #108",0.59241180403504,0.118793563033213
"172","CSH_negESI #109",0.830078456493831,0.0975171154901873
"173","CSH_negESI #113",0.848897450020502,0.137174932656137
"174","CSH_negESI #120",0.268813935609357,0.0770205332740436
"175","CSH_negESI #120 ",0.352279186954862,0.0932274804032291
"176","CSH_negESI #123",0.233003495764551,0.108612226450026
"177","CSH_negESI #124",0.398617805162328,0.0811956676698647
"178","CSH_negESI #130",0.289269426401071,0.138181109316981
"179","CSH_negESI #131",1.14202283430472,1.23340743785316
"180","CSH_negESI #132",0.502354243511071,0.642819494375941
"181","CSH_negESI #133",0.314239760604306,0.31349678526775
"182","CSH_negESI #134",0.467067937341243,0.398913317784166
"183","CSH_negESI #135",0.22352897892665,0.0846807328466462
"184","CSH_negESI #136",0.487599362069585,0.464683041924229
"185","CSH_negESI #137",0.179539108232336,0.144590998982757
"186","CSH_negESI #138",0.238074437927946,0.133125702441326
"187","CSH_negESI #139",0.865288967523227,0.307870150266758
"188","CSH_negESI #140",0.267222207492498,0.1523935503381
"189","CSH_negESI #144",0.492823043820835,0.0685008069712816
"190","CSH_negESI #146",0.453933471430143,0.136588770819459
"191","CSH_negESI #191",0.373553879092131,0.484827874143441
"192","CSH_negESI #192",0.399971511831397,0.382773014510362
"193","CSH_negESI #199",0.274082357833462,0.0792965574807181
"194","CSH_negESI #200",0.662235098676145,0.10281649492257
"195","CSH_negESI #202",0.348640630261187,0.12251363814124
"196","CSH_negESI #203",0.296160970413614,0.108937903220616
"197","CSH_negESI #206",0.41037719421374,0.0729107063856277
"198","CSH_negESI #206_1",0.426742195494942,0.0686529053436069
"199","CSH_negESI #220",0.297754114296816,0.0984722613948791
"200","CSH_negESI #221",0.364790047216755,0.0993346803704261
